"판시사항","한 권리 또는 법률관계를 주장한다는 이유만으로 원고를 상대로 원고의 제3자에 대한 권리 또는 법률관계의 부존재 확인을 구할 수 있는지 여부"
"이유","나머지 당사자의 동의 내지 승낙이 반드시 명시적 의사표시에 의하여야 하는 것은 아니며 묵시적 의사표시에 의하여서도 가능하다."
"이유","그것이 계약 주체의 변동을 초래하는 등 당사자 사이의 법률상 지위에 중대한 영향을 미치는 법률행위인 점을 고려하여, 계약의 성질, 당사자의 거래 동기와 경위, 거래 형식 및 내용, 당사자가 그 거래행위에 의하여 달성하려는 목적, 거래관행 등에 비추어 신중하게 판단하여야 할 것이다."
"이유","연예인 전속계약은 연예인과 기획사 사이의 고도의 신뢰관계를 기초로 체결되는 것이어서 당사자의 변경이 연예인 전속계약의 이행에 큰 영향을 주는 점이다."
"이유","소외인이 원고와 독립당사자참가인의 대주주이자 대표이사를 겸하고 있다고 하더라도 원고가 피고의 전속금과 5집 정규음반 제작비 등으로 이미 10억 원 이상의 거액을 지출한 상태에서 별다른 대가 없이 독립당사자참가인에게 이 사건 전속계약상의 소속사 지위를 모두 이전하여 주었다는 것은 선뜻 납득하기 어려운 점이다."
"이유","연예인 전속계약이 이전되는 경우 양도인과 양수인 사이에는 양도계약서를, 상대방과 양수인 사이에는 새로운 전속계약서를 각 작성하게 된다."
"이유","음반유통계약의 당사자 또한 변경되어야 할 터인데 이러한 절차가 전혀 이루어지지 않은 점 등에 비추어, 원·피고와 독립당사자참가인 사이에 이 사건 전속계약을 인수하기로 하는 합의가 있었다고 보기는 어렵다고 판단하였다."
"이유","거기에 논리와 경험의 법칙에 반하여 자유심증주의의 한계를 벗어나거나 상고이유의 주장과 같이 계약인수 및 처분문서의 증명력에 관한 법리를 오해하는 등의 위법이 없다."
"이유","이 사건 전속계약은 특별한 사정이 없는 한 피고의 전속계약 위반으로 인하여 그 해지의 의사표시가 담긴 이 사건 소장부본이 피고에게 송달된 날임이 기록상 명백한 2008. 2. 15.경 해지되었다고 판단하였다."
"이유","거기에 논리와 경험의 법칙에 반하여 자유심증주의의 한계를 벗어나거나 상고이유의 주장과 같이 계약해지에 관한 법리를 오해한 위법이 있다고 할 수 없다."
"이유","그러한 법률관계의 확인을 구할 이익이 있다고 하기 위하여는 원고의 권리 또는 법적 지위에 현존하는 위험·불안이 있어 그 법률관계를 확인판결에 의해 즉시 확정할 필요가 있고 그것이 가장 유효적절한 수단이 되어야 한다."
"이유","독립당사자참가인은 이 사건 전속계약상의 소속사 지위를 원고로부터 인수하였다고 주장하면서 원고에 대하여 원·피고 사이에 전속계약이 존재하지 아니한다는 확인을 구하고 있다."
"이유","원고의 본소청구는 피고의 귀책사유로 전속계약이 해지되어 종료되었음을 전제로 하고 있으므로 독립당사자참가인으로서는 원·피고 사이에 전속계약이 존재하지 아니한다는 확인을 구할 필요가 있다고 보기도 어렵다."
"이유","그렇다면 독립당사자참가인의 원고에 대한 참가신청은 소의 이익이 없어 부적법하다고 할 것이므로, 같은 취지에서 원심이 독립당사자참가인의 참가신청을 각하한 조치는 정당하다."
"이유","그리고 이와 같이 독립당사자참가인의 참가가 부적법한 이상, 참가신청이 적법한 것임을 전제로 하는 독립당사자참가인의 그 밖의 상고이유는 더 나아가 살펴볼 필요 없이 이유 없다."
