"판시사항","완성문서로서의 진정성립의 추정의 번복 방법과 그러한 추정이 번복된 경우 미완성 부분이 정당한 권원에 의하여 보충되었다는 점에 관한 입증책임"
"판결요지","즉 인영 부분 등의 성립을 인정하는 경우에는 반증으로 그러한 추정이 번복되는 등의 다른 특별한 사정이 없는 한 그 문서 전체에 관한 진정성립이 추정된다."
"판결요지","인영 부분 등의 진정성립이 인정된다면 다른 특별한 사정이 없는 한 당해 문서는 그 전체가 완성되어 있는 상태에서 작성명의인이 그러한 서명·날인·무인을 하였다고 추정할 수 있다."
"판결요지","인영 부분 등의 진정성립이 인정되는 경우, 그 당시 그 문서의 전부 또는 일부가 미완성된 상태에서 서명날인만을 먼저 하였다는 등의 사정은 이례에 속한다고 볼 것이므로 완성문서로서의 진정성립의 추정력을 뒤집으려면 그럴 만한 합리적인 이유와 이를 뒷받침할 간접반증 등의 증거가 필요하다고 할 것이다."
"판결요지","다시 그 백지문서 또는 미완성 부분이 정당한 권한에 기하여 보충되었다는 점에 관하여는 그 문서의 진정성립을 주장하는 자 또는 문서제출자에게 그 입증책임이 있다."
"이유","즉 인영 부분 등의 성립을 인정하는 경우에는 반증으로 그러한 추정이 번복되는 등의 다른 특별한 사정이 없는 한 그 문서 전체에 관한 진정성립이 추정된다고 할 것이다."
"이유","그 당시 그 문서의 전부 또는 일부가 미완성된 상태에서 서명날인만을 먼저 하였다는 등의 사정은 이례에 속한다고 볼 것이므로 완성문서로서의 진정성립의 추정력을 뒤집으려면 그럴만한 합리적인 이유와 이를 뒷받침할 간접반증 등의 증거가 필요하다고 할 것이다."
"이유","다시 그 백지문서 또는 미완성 부분이 정당한 권한에 기하여 보충되었다는 점에 관하여는 그 문서의 진정성립을 주장하는 자 또는 문서제출자에게 그 입증책임이 있다고 할 것이다."
"이유","피고는 스스로 그 신청서의 상단 부분인 신청인의 성명과 주소란에 자신의 성명과 주소를 각기 기입한 다음 그 이름 옆에 피고의 인감도장을 날인하였음은 이를 인정하고 있으므로 다른 특별한 사정이 없는 한 완성문서로서의 문서전체의 진정성립을 추정할 수 있다고 할 것이다."
"이유","결국 위 신청서에 관한 진정성립의 추정을 피고의 위 주장으로 번복할 수는 없다고 할 것이고, 따라서 위 신청서 중 명판과 사용인감 부분 역시 진정한 것으로 추정된다고 볼 것이다."
"이유","피고는 1996. 8. 28. 소외 1의 요청으로 원고와 사이에 어음할인한도금액을 10억 원으로 한 어음한도거래약정을 체결하면서 피고 명의의 명판과 사용인감 사용신청서를 제출한 사실, 피고는 소외 1이 피고 명의를 사용하여 위 어음한도거래약정에 기하여 원고로부터 어음할인을 받는 것을 승낙한 사실이다."
"이유","피고는 위 약정에 기한 어음할인한도잔액이 26,828,496원이 남게 되자 다시 1996. 9. 5. 원고와의 사이에 어음할인한도금액을 16억 원, 거래기간을 1998. 9. 5.까지로 하는 어음한도거래약정을 체결한 사실이다."
"이유","위 인정 사실에 의하면, 피고는 주채무자로서 원고에게 대출금 355,000,000원 및 이에 대한 지연손해금을 지급할 의무가 있다고 판단하였는 바이다."
"이유","원심판결을 기록과 대조하여 살펴보니, 원심의 위와 같은 사실인정과 판단은 수긍이 가고, 거기에 주장과 같은 채증법칙 위배로 인한 사실오인의 위법이 없다."
"이유","원심이 피고에게 상법상의 명의대여책임도 아울러 있다고 인정하였음을 전제로 하여 원심판결에 이유모순, 상법상의 명의대여책임에 관한 법리오해, 심리미진, 채증법칙 위배, 석명권 불행사 등의 위법이 있다는 상고이유는 더 나아가 살펴 볼 필요 없이 이유 없다."
