"판시사항","사실적시의 내용이 사회 일반의 일부 이익에만 관련된 사항 또는 개인에 관한 사항이라도 공익성이 인정되는 경우 및 사인의 경우 공공의 이익에 관련되는지 판단하는 기준"
"이유","행위자의 주요한 동기나 목적이 공공의 이익을 위한 것이라면 부수적으로 다른 사익적 목적이나 동기가 내포되어 있더라도 형법 제310조의 적용을 배제할 수 없다."
"이유","사실적시의 내용이 사회 일반의 일부 이익에만 관련된 사항이라도 다른 일반인과 공동생활에 관계된 사항이라면 공익성을 지닌다."
"이유","피고인은 2017. 12. 1.부터 2018. 11. 30.까지 ○○대학교 총학생회장이었고, 피해자는 같은 기간 ○○대학교 사범대학 국어교육과 학생회장이었다."
"이유","피고인·피해자 등 ○○대학교 사범대학 소속 학생 6명은 2018. 6. 6. ○○대학교 총학생회가 주관하는 여름 농활을 준비하기 위하여 충북 옥천군으로 사전답사를 갔다."
"이유","그 자리에서 피고인·피해자 모두 적어도 일정량의 맥주를 마셨다. 피고인 등 학생들은 피해자의 음주를 만류하였음에도, 피해자는 분위기 탓에 맥주를 일부 마시게 되었다."
"이유","피고인은 이 사건 음주운전을 계기로 그 무렵부터 농활 및 준비과정에서의 음주운전 또는 이를 묵인하는 관행에 대한 반성 겸 비판적인 문제의식을 가졌다."
"이유","2018. 9. 25.경 부산 해운대구에서 OOO 차량 운전자의 음주운전으로 대학생이 사망하는 사건까지 발생하자, 2018. 9. 말경부터 ○○대학교 부총학생회장 및 중앙집행위원장 등과 이 사건 음주운전의 공론화 여부·방식·내용 등을 논의하였다."
"이유","이 사건 게시글의 주된 내용은, ① 농활 준비를 위한 사전답사 과정에서 모든 학생들이 음주를 하였다."
"이유","이 사건 게시글의 일부 사실관계에 대한 의견이 대립되자 이 사건 음주운전의 사실관계 확인 등을 위한 임시중재회의가 2018. 10. 15.부터 소집되었다."
"이유","○○대학교 총학생회 페이스북에 2018. 10. 17. 임시중재회의 속기록·녹취록이 게시됨으로써 공론화가 계속되었다. 임시중재회의 결과, ① 피고인은 이 사건 게시글 중 특정한 시간, 렌트카 탑승자의 수 등 일부 부분에 기억의 오류가 있음을 인정하였다."
"이유","‘피해자가 맥주를 마신 후 운전을 하였다.’는 사실에는 피고인·피해자 사이에 다툼이 없으나, ③ 피해자가 마신 술의 양·종류에 대해서는 피고인과 피해자를 비롯한 나머지 학생들 사이의 기억이 일치하지 않았다."
"이유","대책위원회는 2019. 4.경 ‘2018년 여름 농활 사전답사 관련사건 보고서’를 제출하였는데, ① 향후 농활 참여 단위에서는 참여 이전에 농활 내 음주·안전문제에 대해 반성적 토론이 필요하다."
"이유","차후 농활준비 과정에서 학생회 내부 토론 및 농민회와의 협의를 통해 학생·농민 간의 안전교육을 강화하며, 농민회에 농활기간 중 음주운전하는 일이 절대 없도록 요청하는 것이 필요하다는 제언이 기재되었을 뿐 추가적으로 드러나거나 정정된 사실관계는 없다."
"이유","피고인은 수사기관 이래 법정에 이르기까지 일관되게, 음주운전에 대한 사회적 인식과 달리 농활 과정에서의 관성적인 음주운전에 대한 경각심이 높지 않은 상황에서 이를 공론화하기 위한 공익적 차원에서 문제제기를 하였다고 진술하였다."
"이유","위와 같은 사정을 관련 법리와 기록에 비추어 살펴보면, 원심의 판단은 다음과 같은 이유에서 수긍할 수 없다."
"이유","이는 기억의 착오에 따른 것으로 진실과 약간의 차이가 있거나 다소 과장된 표현에 불과한 것으로 보이므로, 이 사건 게시글의 중요한 부분은 ‘진실한 사실’에 해당한다."
"이유","피고인이 ○○대학교 총학생회 구성원 이외의 사람까지 볼 수 있는 페이스북에 이를 게시하였다고 하여, 이 사건 게시글의 공익성을 부정할 만한 사정에 해당한다고 볼 수는 없다."
"이유","피고인의 주요한 동기·목적이 공공의 이익을 위한 것임이 인정되는 이상, 형법 제310조에 따라 위법성이 조각된다고 봄이 타당함에도, 원심은 판시와 같은 사정만을 이유로 공소사실을 유죄로 판단하였는 바이다."
"이유","이러한 원심판단에는 형법 제310조의 위법성조각사유에 대한 법리를 오해하여 필요한 심리를 다하지 아니함으로써 판결에 영향을 미친 잘못이 있다."
"이유","그러므로 원심판결을 파기하고, 사건을 다시 심리·판단하도록 원심법원에 환송하기로 하여, 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
