"판시사항","신용카드 가맹점주가 신용카드회사에게 용역의 제공을 가장한 허위의 매출전표를 제출하여 대금을 청구한 행위가 기망행위에 해당하는지 여부"
"판결요지","사기죄의 요건으로서의 기망은 널리 재산상의 거래관계에 있어서 서로 지켜야 할 신의와 성실의 의무를 저버리는 모든 적극적 또는 소극적 행위를 말하는 것으로서, 반드시 법률행위의 중요부분에 관한 허위표시임을 요하지 아니한다."
"판결요지","그럼에도 불구하고 이를 고지하지 아니한 것은 고지할 사실을 묵비함으로써 상대방을 기망한 것이 되어 사기죄를 구성한다."
"판결요지","신용카드 가맹점주가 신용카드회사로부터 금원을 교부받을 당시 신용카드회사에게 매출전표가 용역의 제공을 가장하여 허위로 작성된 것임을 고지하지 아니한 채 제출하여 대금을 청구하였다."
"판결요지","비록 당시 그에게 신용카드 이용대금을 변제할 의사와 능력이 있었다고 하더라도 사기죄의 범의가 있었음을 인정할 수 있다."
"이유","이 사건 주위적 공소사실과 같이 피고인이 자신이 경영하는 신용카드가맹점 명의로 용역의 제공 없이 허위의 매출전표를 작성하여 행사한 경우에는 이를 처벌할 수 없다는 이유로 주위적 공소사실에 대하여 무죄를 선고한 제1심의 조치를 그대로 유지한 것은 정당하다."
"이유","피고인이 이와 같이 허위의 매출전표를 작성, 제출하여 신용카드회사로부터 금원을 교부받을 당시 변제할 의사가 없었다는 점을 인정할 아무런 자료가 없으므로 피고인에게 사기의 고의를 인정할 수 없다는 이유로 예비적 공소사실을 무죄로 판단하고 있다."
"이유","거래의 상대방이 일정한 사정에 관한 고지를 받았더라면 당해 거래에 임하지 아니하였을 것이라는 관계가 인정되는 경우에는 그 거래로 인하여 재물을 수취하는 자에게는 신의성실의 원칙상 사전에 상대방에게 그와 같은 사정을 고지할 의무가 있다 할 것이다."
"이유","피고인은 신용카드회사로부터 금원을 교부받을 당시 신용카드회사에게 이 사건 매출전표가 용역의 제공을 가장하여 허위로 작성된 것임을 고지하지 아니한 채 제출하여 대금을 청구하였다."
"이유","신용카드회사는 이 사건 매출전표에 기재된 바와 같은 가맹점의 용역의 제공이 실제로 있은 것으로 오신하여 피고인에게 그 대금 상당의 금원을 교부하였음을 알 수 있다."
"이유","피고인에게 이러한 기망행위에 대한 범의가 있었다면 비록 당시 피고인에게 신용카드 이용대금을 변제할 의사와 능력이 있었다고 하더라도 피고인에게 사기죄의 범의가 있었음을 인정할 수 있다고 할 것이다."
"이유","피고인이 이 사건 매출전표가 용역의 제공을 가장한 허위의 매출전표임을 고지하지 아니한 채 신용카드회사에게 제출하여 대금을 청구한 행위는 사기죄의 실행행위로서의 기망행위에 해당한다고 할 것이다."
"이유","그러므로 원심판결 중 예비적 공소사실에 관한 부분은 파기를 면할 수 없고 이와 동일체의 관계에 있는 주위적 공소사실에 관한 부분 역시 파기될 수밖에 없으므로 원심판결을 파기한다."
