"판시사항","사회통념상 독립한 건물이라고 볼 수 있는 미완성 건물을 인도받아 완공한 경우, 그 소유권의 원시취득자 및 독립한 부동산으로서의 건물의 요건"
"이유","특정 소송사건에서 당사자 일방을 보조하기 위하여 보조참가를 하려면 당해 소송의 결과에 대하여 이해관계가 있어야 할 것이다."
"이유","이는 당해 소송의 판결의 기판력이나 집행력을 당연히 받는 경우 또는 당해 소송의 판결의 효력이 직접 미치지는 아니한다고 하더라도 적어도 그 판결을 전제로 하여 보조참가를 하려는 자의 법률상의 지위가 결정되는 관계에 있는 경우를 의미하는 것이다."
"이유","기록에 의하면, 원고 보조참가인은 원심 변론종결 후인 2006. 12. 27. 원고로부터 원고가 이 사건 소송에서 패소할 경우에는 매매계약이 해지되는 것을 조건으로 하여 이 사건 건물을 매수한 사실을 알 수 있는 바이다."
"이유","원고 보조참가인은 아래에서 보는 바와 같이 이 사건 건물의 원시취득자인 원고가 그 소유권에 기한 방해배제청구로서 피고에 대하여 건축주명의변경절차의 이행을 구하는 이 사건 소송의 결과에 대하여 법률상의 이해관계를 갖는다고 할 것이므로, 위 보조참가신청은 적법하다고 할 것이다."
"이유","건축주의 사정으로 건축공사가 중단되었던 미완성의 건물을 인도받아 나머지 공사를 마치고 완공한 경우, 그 건물이 공사가 중단된 시점에서 이미 사회통념상 독립한 건물이라고 볼 수 있는 형태와 구조를 갖추고 있었다면 원래의 건축주가 그 건물의 소유권을 원시취득했다."
"이유","최소한의 기둥과 지붕 그리고 둘레 벽이 이루어지면 독립한 부동산으로서의 건물의 요건을 갖춘 것으로 보아야 한다."
"이유","원고의 상고이유 중 채증법칙 위배로 인한 사실오인의 위법이 있다는 주장은 사실심의 전권에 속하는 증거의 취사선택과 사실인정을 탓하는 것에 불과하여 적법한 상고이유라고 보기 어려울 뿐 아니라, 기록에 비추어 살펴보아도 원심의 사실인정에 채증법칙을 위배한 위법이 있다고 인정되지 아니한다."
"이유","사정이 이러하다면 위 법리에 비추어 볼 때 원고가 이 사건 건물을 원시취득하였다고 판단한 원심의 판단은 정당하고 거기에 상고이유에서 주장하는 바와 같은 건물의 원시취득에 관한 법리오해 등의 위법도 없다."
"이유","민법 제548조 제1항 단서에서 말하는 제3자란 일반적으로 그 해제된 계약으로부터 생긴 법률효과를 기초로 하여 해제 전에 새로운 이해관계를 가졌을 뿐 아니라 등기, 인도 등으로 완전한 권리를 취득한 자를 말한다."
"이유","건축허가서는 허가된 건물에 관한 실체적 권리의 득실변경의 공시방법이 아니며 추정력도 없다. 따라서 건축허가서에 건축주로 기재된 자가 건물의 소유권을 취득하는 것은 아니다."
"이유","건축주 허가 명의만을 양수한 자에 불과한 자는 민법 제548조 제1항 단서에서 규정하는 제3자에 해당한다고 볼 수 없다."
"이유","이와 같은 취지의 원심 판단은 정당하고, 거기에 상고이유에서 주장하는 바와 같은 법리오해 등의 위법이 있다고 할 수 없다."
"이유","상고비용 중 피고 보조참가로 인한 부분은 피고 보조참가인이, 나머지는 피고가 각 부담하기로 하여 관여 법관의 일치된 의견으로 주문과 같이 판결한다."
