"판시사항","정당한 이유 없이 근로자를 해고하고 임금을 미지급하였다는 근로기준법 위반의 공소사실에 대하여 고용관계가 처음부터 부존재하였거나 합의해지로 종료되었다는 이유로 무죄를 선고한 사례"
"판결요지","정당한 이유 없이 근로자를 해고하고 임금을 미지급하였다는 근로기준법 위반의 공소사실에 대하여, 근로자와의 고용관계가 처음부터 의사의 불합치로 부존재하였거나 또는 구체적인 근로계약이 체결되었는지 여부가 의심스럽고, 그렇지 않다고 하더라도 근로자와의 고용관계가 암묵적인 합의해지로 종료되었다는 이유로 무죄를 선고한 사례."
"이유","범죄사실 피고인은 2001. 11. 1.부터 인천 부평구 부평동 소재 공소외 주식회사의 대표이사로 근무하면서 위 회사를 경영해오던 자인 바이다."
"이유","2002. 1. 8. 위 회사에서, 위 회사에서 영업사원으로 근무하던 근로자 OOO, OOO, OOO을 정당한 사유없이 각 해고하였다."
"이유","이 사건 공소사실 중 OOO, OOO을 각 해고하고, 임금을 지급하지 아니하였다는 각 근로기준법위반의 공소사실의 요지는, 피고인은 위 공소외 주식회사의 대표이사로 근무하면서 이 사건 회사를 경영해오던 자인 바이다."
"이유","2002. 1. 31. 이 사건 회사에서 전무이사 직함으로 근무하던 근로자 OOO에게 이 사건 회사 근무를 그만두라는 내용의 내용증명 우편을 발송하여 정당한 사유 없이 동인을 해고하다."
"이유","피고인은 경찰, 검찰이래 이 법정에 이르기까지 일관하여 OOO와의 고용관계는 합의로 해지되었으므로, 부당해고가 될 수 없다."
"이유","그에 대한 임금의 지급의무가 없으며, 또한 OOO을 고용한 사실이 없고, 따라서 그에 대한 임금 지급의무도 없다는 취지의 주장을 한다."
"이유","살피건대, 위 각 공소사실에 부합하는 증거로서 OOO, OOO의 이 법정 및 검찰, 경찰에서의 각 진술 내지 진술기재, OOO, OOO의 검찰 및 경찰에서의 각 진술기재, OOO, OOO, OOO, OOO, OOO, OOO에 대한 검찰에서의 각 진술기재 등이 있다."
"이유","이에 2001. 12.경부터 OOO는 피고인에게 차량을 투자할 테니 이 사건 회사의 지분을 달라고 요구한 바 있다."
"이유","OOO는 2002. 1. 10.경 자신이 이 사건 회사의 주식지분을 갖는 방안, 독립된 영업소를 운영하는 방안, 전적으로 이 사건 회사를 운영하는 방안 등 세 가지 제안을 내용으로 하는 '진행보고서'를 피고인에게 일방적으로 제출한 사실, OOO는 2002. 1. 7. OO공제조합에 사직서를 제출하였다."
"이유","그 이후 사직이 최종적으로 처리될 때까지 매일 17시까지 OO공제조합에 근무한 사실 등을 각 인정할 수 있는 바이다."
"이유","위 인정 사실에 의하면, 피고인과 OOO 사이의 고용관계는 처음부터 의사의 불합치로 부존재하였거나 그렇지 않다고 하더라도 위 고용관계는 피고인이 암묵적인 해지의 의사표시를 한 후 2002. 1. 10.경 OOO가 이에 암묵적으로 합치하는 내용의 위와 같은 보고서를 제출함으로써 합의해지로 종료되었다 할 것이다."
"이유","한편 위와 같은 사정들 및 OOO가 해고되었다고 주장한 2002. 1. 31. 무렵까지 OO공제조합에 근무한 점 등에 비추어 OOO가 2002. 1. 31.경까지 이 사건 회사를 위하여 노무를 제공하였다고 보기도 어렵다고 봄이 상당하다."
"이유","또한 기록에 의하면, OOO은 차량 4대를 투자하는 조건으로 이 사건 회사에서 상무이사로 근무하게 되었는데, 위 OOO와 마찬가지로 월급 문제에 관하여 피고인과 사이에 상호 의사의 불합치가 있었던 사실이다."
"이유","한편 OOO은 2002. 1. 1.부터 18:00부터 24:00까지 OOOO해상보험 OO보상센타에 출동 서비스 직원으로 근무한 사실, OOO은 2002. 3. 말경 그 때까지의 근무에 대하여 정산을 요구하자, 피고인이 위 차용금을 월급으로 준 것이다라고 말하였다."
"이유","이에 OOO이 너는 오너 자격이 없는 놈이다라고 말하면서 그 이후 이 사건 회사에 더 이상 근무하지 아니한 사실, 또한 OOO은 2002. 1. 말경 피고인으로부터 이 사건 회사를 인수해 달라는 제의를 받다."
"이유","같은 해 2. 중순경 이 사건 회사를 같은 해 3. 20. 인수하기로 하여 인수예정자의 지위에 있었던 사실 등을 각 인정할 수 있는 바, 위 인정 사실에 의하면, 피고인과 OOO 사이에 구체적인 근로계약이 체결되었는지 여부가 의심스럽다."
"이유","그렇지 않다고 하더라도 피고인과 OOO 사이의 근로계약은 2002. 3. 말경 OOO이 이 사건 회사에 더 이상 근무하지 아니함으로써 암묵적으로 합의해지로 종료되었다 할 것이며, 또한 위와 같은 사실관계에 비추어 OOO이 2002. 1. 31.경까지 이 사건 회사를 위하여 노무를 제공하였다고 보기도 어렵다."
"이유","노무를 제공하였다 하더라도 2002. 3. 말경 위 차용금으로 월급을 준 것이다라고 한 피고인의 말에 OOO이 승낙함으로써 노무제공에 대한 댓가가 모두 지급되었다고 봄이 상당하다."
"이유","따라서 앞서 든 위 각 공소사실에 부합하는 각 증거들만으로는 위 각 공소사실을 인정하기에 부족하고, 달리 위 각 공소사실을 인정할 만한 증거가 없다 할 것이다."
"이유","그렇다면 위 각 공소사실은 결국 범죄의 증명이 없는 경우에 해당한다 할 것이므로, 형사소송법 제325조 후단에 의하여 각 무죄를 선고한다."
