"판시사항","공무소에 신고한 허위의 사실이 친고죄로서 그에 대한 고소기간이 경과하였음이 신고내용 자체에 의하여 분명한 경우 무고죄가 성립하는지 여부"
"이유","한편 형법 제354조 제328조의 규정에 의하면 직계혈족 배우자 동거친족 동거가족 또는 그 배우자 간의 사기죄는 그 형을 면제하여야 하고 그 이외의 친족 간에는 고소가 있어야 공소를 제기할 수 있다."
"이유","여기서 범인을 알게 된다는 것은 통상인의 입장에서 보아 고소권자가 고소를 할 수 있을 정도로 범죄사실과 범인을 아는 것을 의미하고 범죄사실을 안다는 것은 고소권자가 친고죄에 해당하는 범죄의 피해가 있었다는 사실관계에 관하여 확정적인 인식이 있음을 말한다."
"이유"," 피고인 1은 마약류 관리에 관한 법률 위반죄 등으로 징역 2년 4월을 선고받아 그 형이 확정됨으로써 ○○교도소에 수감 중에 그의 가족이 살고 있는 △△교도소로 이감가기 위하여 친누나인 피고인 2에게 ○○지방검찰청△△지청에 자신을 사기의 범죄사실로 허위 고소하도록 무고를 교사하였다."
"이유","피고인 2는 이를 받아들여 2015. 11. 30.경 ‘피고인 1이 2012. 10. 1. 5천만 원을 차용하고 아직까지 갚지 않으니 사기로 처벌해 달라’는 취지의 허위고소장을 작성하여 같은 날 ○○지방법원△△지원에 위 고소장을 우편으로 제출하였다."
"이유","2015. 12. 3.경 성명을 알 수 없는 △△지원 소속 공무원으로 하여금 위 고소장을 ○○지방검찰청△△지청에 접수하게 함으로써 피고인 1을 무고하였다."
"이유","이 사건 공소사실 기재에 의하더라도 피고인들은 친남매 사이라는 것이므로 피고인 2가 피고인 1을 고소한 사기죄의 경우 피고인 2의 적법한 고소가 있어야 공소를 제기할 수 있는 경우에 해당한다."
"이유","피고인 1 역시 경찰 및 검찰의 피의자신문 시에 피고인 2의 위 경찰 진술에 부합하는 진술을 하였고 피고인 2로부터 돈을 차용할 당시 본인 소유의 재산이 거의 없었으며 그 돈을 변제할 의사나 능력도 없었던 것이 맞다고 진술하였다."
"이유","그럼에도 원심은 피고인 2의 고소기간 도과 여부에 관하여 별다른 심리도 하지 아니한 채 이 사건 피고인 1에 대한 무고 교사의 공소사실과 피고인 2에 대한 무고의 공소사실을 모두 유죄로 인정하고 말았다."
"이유","그러므로 피고인들의 상고이유 주장에 관한 판단을 생략한 채 원심판결을 파기하고 사건을 다시 심리·판단하도록 원심법원에 환송하기로 하여 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
"이유","이러한 원심의 판단에는 친고죄의 고소기간과 무고죄의 성립에 관한 법리를 오해하여 판결에 영향을 미친 잘못이 있다."
