"판시사항","구 관세법상 추징액 산정의 기준이 되는 ‘국내도매가격’의 의미 및 시가역산율표에 의한 국내도매가격 산정의 적법 여부"
"이유","외국환거래법 부칙 제3조는 “이 법 시행 전의 행위에 대한 처분, 벌칙 및 과태료의 적용은 종전의 규정에 따른다.”라고 규정하고 있다."
"이유","따라서 신고의무를 위반한 금액이 568,749,893원에 달하는 이 사건에서 피고인의 행위는 범죄를 구성하지 아니하게 되거나 법령의 개폐로 형이 폐지된 때에 해당되지 아니한다."
"이유","같은 법 부칙의 경과규정에 따라 구 외국환거래법에 정한 형으로 처벌하여야 할 것이어서 어느 모로 보나 범죄 후 법령의 개폐로 형이 폐지된 때에 해당하지 않는다."
"이유","구 컴퓨터프로그램 보호법 위반죄 및 구 관세법 위반죄에 관한 상고이유에 대하여 원심은, 그 판시와 같은 이유를 들어 이 사건 모드칩은 피해자 닌텐도 주식회사가 닌텐도 디에스 게임용 소프트웨어에 관한 프로그램저작권을 보호하기 위하여 취한 기술적 보호조치를 무력화시키는 장치라고 함이 상당하다."
"이유","이 사건 미신고 수입에 따른 관세법 위반행위의 주체는 피고인이라고 판단하여 이 부분 공소사실을 모두 유죄로 인정한 제1심판결을 유지하였다."
"이유","거기에 상고이유의 주장과 같이 채증법칙을 위반하고 자유심증주의의 한계를 벗어나거나 기술적 보호조치 무력화장치 및 미신고 수입행위의 주체에 관한 법리를 오해하는 등의 위법이 없다."
"이유","이 부분 상고이유의 나머지 주장은 피고인이 이를 항소이유로 삼거나 원심이 직권으로 심판대상으로 삼은 바가 없는 것을 상고이유에서 비로소 주장하는 것으로서 적법한 상고이유가 되지 못한다."
"이유","구 관세법 제282조 제3항은 밀수입 등 죄의 범인으로부터 그 물품을 몰수할 수 없는 때에는 그 몰수할 수 없는 물품의 범칙 당시의 국내도매가격에 상당한 금액을 범인으로부터 추징하도록 규정하고 있는 바이다."
"이유","구 관세법상의 국내도매가격은 물품의 도착원가에 관세 등의 모든 세금과 통관절차비용 및 기업의 적정이윤까지 포함한 국내 도매물가시세인 가격을 뜻한다."
"이유","원심판결 이유에 의하면, 원심은 그 판시와 같이 적법하게 조사한 증거들을 종합하여, 피고인이 이 사건 각 수입물품의 대가로 지급한 가액을 각 금융계좌 거래내역을 통하여 확정한다."
"이유","여기에 시가역산율을 적용하여 이 사건 각 수입물품의 국내도매가격을 산정한 제1심판결을 유지하면서 피고인이 주장하는 내용만으로는 위와 같이 산정한 국내도매가격이 실제의 가격과 차이가 있다고 인정하기에 부족하고 달리 이러한 차이를 인정할 만한 유력한 자료가 없으며, 시가역산율표상의 역산율의 적용도 정당하다고 판단하였는 바이다."
"이유","위 법리와 기록에 비추어 살펴보면 원심의 위와 같은 조치는 정당하고, 거기에 상고이유로 주장하는 바와 같은 국내도매가격에 따른 추징액 산정에 관한 법리오해 등의 위법이 없다."
